source_id_dr3,source_id_dr2,angular_distance,sobject_id,teff,logg,fe_h,alpha_fe,snr_c3
6262056820010540032,6262056820010540032,0.07829576,140311009101076,5612.39,4.431107,-0.304437,0.054264,57.5179
5477948903052134400,5477948903052134400,0.07900442,131123003501179,4593.49,2.281311,-0.390957,0.405877,46.1856
6086128985273103360,6086128985273103360,0.079343006,140414003601371,4147.56,1.635406,-0.425345,0.083411,36.2133
5479587003578574848,5479587003578574848,0.07940645,131218002401248,4724.63,2.731752,-0.489131,0.274823,34.4719
4127973371209626624,4127973371209626624,0.080148116,140413005901287,4109.53,1.55978,-0.198232,-0.051021,33.4315
584474547098116096,584474547098116096,0.08084705,140310003301019,5222.87,4.412468,-0.269385,0.060475,42.9677
6085921551234502656,6085921551234502656,0.08131315,140414003601184,5219.99,4.463532,-0.213439,0.032149,64.0228
6236257780402293760,6236257780402293760,0.08247123,140414004601216,5536.65,3.989131,0.33424,0.073626,32.7993
5634376972096504832,5634376972096504832,0.0824926,140412000201261,6791.21,4.042479,-0.371217,0.065564,37.3444
2966830371468396032,2966830371468396032,0.08397438,140209001701188,5182.46,4.535192,-0.092553,-0.012845,83.4285
5916622328513592320,5916622328513592320,0.08900562,140805000902042,5607.27,2.89135,-0.146243,0.242185,50.4528
3474788285183842304,3474788285183842304,0.08971518,140303001002106,5698.59,4.076906,-0.53004,0.280023,50.6476
2342907825361655296,2342907825361655296,0.09272894,140116002202239,5088.81,3.591084,-1.174886,0.502641,68.8647
5394721542186942464,5394721542186942464,0.092753686,140608001401174,6119.07,4.201184,-0.183719,0.09867,57.0016
5486449845922560000,5486449845922560000,0.09478208,140114003701229,4847.15,2.417018,-0.356159,0.089276,39.9263
6153382258951990272,6153382258951990272,0.09618559,140611000601363,4635.37,2.819248,-0.040078,0.07925,40.4782
5818055955810223104,5818055955810223104,0.09817213,140610003901165,7981.71,3.812358,-0.395107,,30.3167
4129243788172919808,4129243788172919808,0.098927535,140413005401366,4708.49,2.444868,-0.091845,0.140967,39.702
5395087645199192064,5395087645199192064,0.10096106,140608001401352,6230.33,4.285082,-0.37778,0.07851,40.0837
3322355463444503552,3322355463444503552,0.101410195,140118002001114,4525.19,2.110425,-0.027115,0.078161,150.8688
6135206026074445824,6135206026074445824,0.10539402,140609001101195,4608.05,2.353592,-0.037636,0.086956,78.0255
6163556181779629056,6163556181779629056,0.10876598,140312003501360,5742.93,4.41574,0.050048,0.009875,99.8525
2967033918558862848,2967033918558862848,0.114709444,140209001701229,6089.28,4.330018,-0.004604,-0.043088,75.0731
2619238732624769024,2619238732624769024,0.11764349,140711003401359,5678.94,4.017343,0.419055,-0.018856,30.1266
4689581233241892864,4689581233241892864,0.118903555,140113002902031,4764.62,2.784726,-0.841362,0.442484,80.3114
6156570262853042176,6156570262853042176,0.11930993,140314004401127,4858.03,2.334897,-0.475028,0.1533,83.6535
6083714350363018240,6083714350363018240,0.12007639,140307002601232,4802.54,2.58536,-0.99492,0.384907,31.0603
6091738762322702336,6091738762322702336,0.12039593,140316004601083,4900.76,1.853229,-1.52549,0.337928,31.973
5220093532050486272,5220093532050486272,0.12067403,140311006101353,5712.63,4.316576,0.135141,-0.026303,30.91
6113296641983252480,6113296641983252480,0.12272725,140312004001254,4811.46,3.334615,-0.090517,0.011263,114.1537
6093137302449386496,6093137302449386496,0.12474694,140708000601019,4732.78,2.612806,-0.36759,0.267472,33.5
2966029720844955136,2966029720844955136,0.12895645,140209001701028,4844.91,2.957039,-0.105822,0.016488,70.0085
3466357436181706240,3466357436181706240,0.13012074,140412001201093,4972.84,3.628648,-0.003612,0.021635,74.3852
2546292462609048576,2546292462609048576,0.13016564,131217001801243,6274.1,4.05953,-0.510285,0.154678,80.4735
6719684932564666368,6719684932564666368,0.13079955,140709003001217,6312.79,3.993742,-0.096641,-0.023376,63.8694
5394651581462151168,5394651581462151168,0.13347252,140608001401114,5784.05,4.193794,0.088751,0.02636,64.2711
604916873440769152,604916873440769152,0.13417177,140209003202003,4824.96,2.920983,-0.025647,0.006365,217.6709
6148205521987939328,6148205521987939328,0.13599208,140409002001215,6437.5,4.228689,-0.115931,0.027537,57.8258
5220058652618004480,5220058652618004480,0.13622707,140311006101158,6325.89,3.889774,-0.079305,0.138354,67.4378
6093146583879386112,6093146583879386112,0.13701433,140708000601020,4381.25,2.359631,-0.286914,0.189165,42.6238
2622680135300454400,2622680135300454400,0.13739412,140707003101230,5249.85,3.798912,0.164823,0.007947,108.5418
6091901524403447808,6091901524403447808,0.14096227,140316004601004,4696.52,3.00446,0.068436,0.041318,39.116
6631555918799181824,6631555918799181824,0.1436887,140713003101146,5167.25,2.44505,-0.862308,0.231831,49.7918
5363524171061574656,5363524171061574656,0.1441826,140311007101042,6333.53,3.895159,-0.1449,0.079429,57.3968
2545459616910635520,2545459616910635520,0.14420551,131217001801109,5757.8,4.057415,0.109495,0.051937,84.3667
6085942755490880512,6085942755490880512,0.14685835,140414003601213,6184.78,3.97124,-0.267309,0.009232,34.187
6083721462824212480,6083721462824212480,0.1474028,140307003101311,4612.34,1.835824,-1.894903,0.349483,37.9462
6008954367209503744,6008954367209503744,0.15019888,140609001601262,5765.04,3.944349,0.38642,0.061805,34.5491
5921513467317520384,5921513467317520384,0.15172708,140708002701013,6232.54,4.149292,-0.033314,-0.028334,77.896
604918144751101440,604918144751101440,0.1525202,140209003202346,4667.77,2.379207,-0.075506,0.103794,388.9436
6261600183388292096,6261600183388292096,0.15257433,140311009101113,5426.63,4.501747,0.221353,-0.0337,52.0496
4126065233194352128,4126065233194352128,0.15458821,140413005901132,5507.1,4.45117,0.089941,0.025876,52.2724
5420780758041155584,5420780758041155584,0.1553294,140409001401015,4732.12,2.43624,-0.016403,0.014273,87.375
5438028144112404480,5438028144112404480,0.15813373,140414002001076,6415.57,4.078057,-0.133048,-0.001016,102.2998
3107043388480412160,3107043388480412160,0.16147676,131216001602043,5906.8,4.300131,-0.421706,0.058018,89.7564
5420390946809683968,5420390946809683968,0.16470155,140415002101098,4708.97,2.562009,-0.262,0.058061,58.4736
6129059451140041728,6129059451140041728,0.16478148,140707000101166,6007.47,4.178974,0.179228,0.011778,64.2866
5564987652257865728,5564987652257865728,0.16550295,140311005601085,5856.75,4.398163,0.004241,-0.024764,63.1628
6242348937382105088,6242348937382105088,0.16846973,140609002101044,6700.29,4.014853,-0.365601,,48.7765
5820147501800920064,5820147501800920064,0.16918252,140611001601283,4100.81,1.741376,-0.07997,0.176955,120.2648
5390788829612136448,5390788829612136448,0.17097448,140303000402148,4753.13,2.285843,-0.341609,0.218308,186.8324
6069891668131178496,6069891668131178496,0.1765694,140611001101118,6310.71,4.12705,-0.057383,-0.027972,35.6081
6127229485836435456,6127229485836435456,0.17799543,140312003001048,4174.14,1.669766,-0.193482,0.271458,184.6182
6109184163558942720,6109184163558942720,0.18224739,140414004101363,4632.44,2.424278,-0.247427,0.287145,53.3666
3119533771853173248,3119533771853173248,0.18426028,140118002502155,4770.49,1.765406,-0.18302,-0.005505,225.7336
