source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,ebpminrp_gspphot,ruwe,radial_velocity_error,rv_nb_transits,teff_gspphot,logg_gspphot,mh_gspphot,alphafe_gspspec,fem_gspspec,ew_espels_halpha,ew_espels_halpha_flag,nss_solution_type,has_rvs_spectrum,has_bprp_spectrum
2313818699058718208,357.9527424895902,-33.45221002622871,13.905876659004532,0.020241397,-17.19382319304381,63.6343223337107,7.672899,0.0498,0.9691376,0.12895106,22,5593.4155,3.8062,-0.4491,0.1,-0.05,0.04040589,0,,True,True
6417553057243290112,296.2921594491832,-70.01678501524614,14.785693134989144,0.06173139,-54.81909128848036,-54.91321199347104,7.6816854,0.0041,3.2261055,3.1414306,36,6085.4097,4.0031,-0.5756,0.26,-0.17,0.108312435,0,SB1,True,True
45367056650753280,61.567748068065875,15.698032862131647,21.1750396454176,0.022528196,118.96454993102434,-19.715098672341668,7.7056403,0.0,0.9715326,0.12577575,22,5875.7847,4.2966,-0.1603,0.14,,0.08644705,0,,True,True
719021574535141120,136.461528652874,38.43874699063851,14.953923555890295,0.023287926,-146.33923522169408,-40.134902554999364,7.7183957,0.0002,1.0019192,0.12742846,27,6267.08,4.184,-0.7012,0.14,-0.1,0.14891227,0,,True,True
6145755844441101440,189.02657234550776,-42.852573366694614,20.87289427069737,0.030248024,-142.45291339671698,-61.28995996479383,7.720592,0.0,0.92204285,0.15262835,20,5638.0405,4.2785,-0.5504,0.08,-0.13,0.06229022,0,,True,True
1585629190413334528,224.0329294201257,43.3182097846484,14.621160616677162,0.016812235,-74.53529075005468,91.68088376506422,7.721724,0.0278,1.02183,0.1258863,28,5331.496,4.0452,-0.052,-0.02,-0.11,-0.011957446,0,,True,True
6359764233617410816,293.1814110805348,-81.53075597004623,8.222849481171012,0.018009214,56.29361305349448,-52.39783187206426,7.7294908,0.0017,0.9010131,0.21243465,20,6408.544,3.86,-0.582,0.3,-0.13,0.16106355,0,,True,True
5685269001653018368,146.70785904525124,-16.546611247804666,10.012975959838178,0.023267467,-9.80103072170673,-6.577011928139099,7.7534375,0.0003,0.97282654,0.13505508,18,6194.2583,3.9504,-0.6197,0.12,-0.15,0.1378295,0,,True,True
63561740706077056,55.67150136326923,21.28167015664145,7.511955700669591,0.028389886,2.940319735957493,3.3044002773160726,7.755738,0.1063,0.92858595,0.16770257,15,5981.182,3.5622,-0.3406,0.3,-0.08,0.1166419,0,,True,True
3404850790083594368,72.84703237708088,15.43338388133849,16.333583569386576,0.032190233,65.81291018902783,-18.215781799170145,7.770734,0.0,0.92833674,0.13548054,23,6146.0103,4.2729,-0.135,0.25,,0.12149736,0,,True,True
3608753056789641600,198.5382166004042,-14.282100626442949,10.319699345716083,0.0253864,-115.03026552243388,3.547339677104792,7.774578,0.0023,0.89123064,0.13478076,18,5810.938,3.9544,-0.2559,0.11,-0.14,0.10415506,0,,True,True
4635412796456855424,2.518912297391051,-79.00185939869608,10.4796519320896,0.019420438,14.387713987466775,-2.891572010461765,7.776913,0.0005,1.0464368,0.14199084,14,6409.8105,4.0296,-0.4179,0.19,-0.12,0.18665113,0,,True,True
6528247455519551232,352.45927946289606,-45.894357340380616,10.878820491822616,0.020837251,50.192338962602186,-85.15886583836024,7.782185,0.002,1.0026641,0.12541339,58,6459.6934,3.9377,-0.8368,0.24,-0.16,0.18023376,0,,True,True
3312575685471393664,68.64759095859309,15.504503855092008,21.668969928652356,0.02430476,100.96281435030956,-26.81401752868006,7.782416,0.0,0.99662864,0.12414133,26,5757.3096,4.2824,-0.218,0.14,,0.069567494,0,,True,True
